ILMN_1676905 TIGD7
ILMN_1729611 REEP4
ILMN_1813925 NOL3
ILMN_1742270 CASP1
ILMN_1737066 PRPF19
ILMN_1813833 NARFL
ILMN_1763198 STAT6
ILMN_1680109 COL4A3BP
ILMN_1685854 PURA
ILMN_1673509 RPL28
ILMN_1754325 NA
ILMN_1721816 SUPT3H
ILMN_1736327 CDC42EP3
ILMN_1720526 CENPN
ILMN_1659054 CHKB
ILMN_1744068 ELP3
ILMN_1727023 AMMECR1L
ILMN_1716413 KIAA2026
ILMN_1671482 GALM
ILMN_1745665 SNX22
ILMN_1748968 ATG10
ILMN_1657237 NUBP2
ILMN_1792497 MIR5703
ILMN_1712530 AKAP1
ILMN_1812616 MYO1C
ILMN_1728360 MED29
ILMN_1794715 GPR137B
ILMN_1799607 CECR1
ILMN_1751851 CECR1
ILMN_1770641 KLHL3
ILMN_1664243 USE1
ILMN_1671004 POLG2
ILMN_1722900 SNORA67
ILMN_1743199 NA
ILMN_1657862 NA
ILMN_1778226 EXTL3
ILMN_1707337 MSTO1
ILMN_1771084 ACSM3
ILMN_1819384 VTRNA1-3
ILMN_1741684 SMPD1
ILMN_1662334 DNAJA3
ILMN_1719140 WDR45B
ILMN_1793712 SCAMP3
ILMN_1671478 CKB
ILMN_1672128 ATF4
ILMN_1690342 LTA4H
ILMN_1738987 HS2ST1
ILMN_1679641 FAM120B
ILMN_1653342 DUS1L
ILMN_1658624 UBXN6
ILMN_1737517 RPL29
ILMN_1787509 HELZ2
ILMN_1663132 ADCK2
ILMN_1721735 SMG5
ILMN_1777526 MED20
ILMN_1753482 FAM86C1
ILMN_1779426 RAB11FIP1
ILMN_1770856 TMIGD2
ILMN_1776708 LIMK1
ILMN_1676625 SS18L1
ILMN_1655702 ABHD5
ILMN_1705715 SNORA33
ILMN_1658071 ATP1B1
ILMN_1730575 GCLC
ILMN_1688098 TBC1D4
ILMN_1754629 TRAK1
ILMN_1744212 INPP5D
ILMN_1682233 ESCO1
ILMN_1752914 ARHGAP31
ILMN_1709484 BLM
ILMN_1689868 TMEM80
ILMN_1699476 RPE
ILMN_1806757 MYBBP1A
ILMN_1742981 TUBA1A
ILMN_1763540 PSME4
ILMN_1761031 PTPDC1
ILMN_1675131 PIH1D1
ILMN_1722651 VAMP1
ILMN_1766085 REL
ILMN_1694147 PUS3
ILMN_1752802 CLPTM1L
ILMN_1750052 NOP14
ILMN_1718853 UQCRC2
ILMN_1658003 YIF1B
ILMN_1757697 NEIL3
ILMN_1804988 MOAP1
ILMN_1671387 TCAIM
ILMN_1666635 RPS14
ILMN_1705686 NRGN
ILMN_1794828 VPS51
ILMN_1790136 MRGBP
ILMN_1744513 MPZL1
ILMN_1757011 NA
ILMN_1726496 SEL1L
ILMN_1746426 TOMM70A
ILMN_1659682 GALK2
ILMN_1673875 RNF19A
ILMN_1703072 CREB3
ILMN_1699525 SRI
ILMN_1682054 SRI
ILMN_1658759 PEX19
ILMN_1660021 PLIN3
ILMN_1908133 NA
ILMN_1746029 SPATS2
ILMN_1763398 CLEC17A
ILMN_1780153 QTRT1
ILMN_1800611 CEP72
ILMN_1744949 RHOBTB3
ILMN_1797209 CEP41
ILMN_1791792 C12orf5
ILMN_1697919 WHSC1L1
ILMN_1812325 EMC3
ILMN_1785570 NA
ILMN_1746138 RLTPR
ILMN_1787657 CLDN12
ILMN_1675515 NIT2
ILMN_1666050 TMUB1
ILMN_1669286 YWHAZ
ILMN_1801928 YWHAZ
ILMN_1702073 ODF2L
ILMN_1661755 FAM129B
ILMN_1790100 DDIAS
ILMN_1774334 HIGD2A
ILMN_1658452 FAM53A
ILMN_1709936 NA
ILMN_1813187 NA
ILMN_1652389 NA
ILMN_1726354 EXOSC7
ILMN_1697736 EXOSC2
ILMN_1703617 AHSA1
ILMN_1747763 RRM2B
ILMN_1691364 STAT1
